epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.196,2.97793,5.29369,2.54484,0.01441,0.00067,5e-05,2e-05,3.52848,5.59382,3.11952,8.33e-06,8.33e-06,8.33e-06
2,336.85,2.93213,5.25939,2.52335,3e-05,0.00294,7e-05,2e-05,3.44967,5.32504,3.13669,1.60829e-05,1.60829e-05,1.60829e-05
3,495.14,2.96798,5.25337,2.51487,2e-05,0.00144,5e-05,1e-05,3.43415,5.29227,3.13119,2.19507e-05,2.19507e-05,2.19507e-05
4,757.793,2.85417,5.18381,2.45545,3e-05,0.00116,8e-05,2e-05,3.39123,5.26608,3.08375,2.59337e-05,2.59337e-05,2.59337e-05
5,955.48,2.83113,5.29624,2.44395,2e-05,0.00155,0.00013,3e-05,3.31435,5.21697,3.00803,2.80316e-05,2.80316e-05,2.80316e-05
6,2842.47,2.8361,5.19586,2.4557,4e-05,0.00405,0.00029,0.0001,3.20848,5.17232,2.90576,2.82447e-05,2.82447e-05,2.82447e-05
7,3187.36,2.75403,5.2314,2.41626,0.01414,0.0005,8e-05,4e-05,3.10101,5.11471,2.8198,2.65727e-05,2.65727e-05,2.65727e-05
8,3476.32,2.80006,5.17686,2.42658,0.01429,0.00017,9e-05,4e-05,2.9764,5.03552,2.71453,2.30158e-05,2.30158e-05,2.30158e-05
9,3726.68,2.78141,5.07317,2.40089,0.01486,0.00139,0.00053,0.00025,2.86582,4.9493,2.60616,1.75739e-05,1.75739e-05,1.75739e-05
10,3991.19,2.64886,5.16421,2.3651,0.015,0.0005,0.00036,0.00019,2.80912,4.90192,2.54664,1.02471e-05,1.02471e-05,1.02471e-05
