epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6707,2.78594,4.55399,2.26683,0.01422,0.01302,0.00987,0.00478,2.5693,4.32661,2.18662,1.785e-05,1.785e-05,1.785e-05
2,54.0639,2.66834,4.44023,2.23653,0.02831,0.0172,0.01816,0.00948,2.51524,4.28028,2.13173,3.32379e-05,3.32379e-05,3.32379e-05
3,165.434,2.65466,4.49948,2.19903,0.0283,0.02035,0.01952,0.01204,2.46336,4.23823,2.08862,4.48559e-05,4.48559e-05,4.48559e-05
4,196.126,2.67086,4.42859,2.20617,0.0283,0.02101,0.02011,0.01449,2.42361,4.21443,2.05388,5.27039e-05,5.27039e-05,5.27039e-05
5,252.154,2.5678,4.52722,2.15789,0.0236,0.0209,0.01796,0.01379,2.37672,4.19296,2.02278,5.6782e-05,5.6782e-05,5.6782e-05
6,331.896,2.55309,4.36512,2.12708,0.01984,0.02107,0.01568,0.01337,2.34912,4.18586,2.00085,5.70903e-05,5.70903e-05,5.70903e-05
7,427.614,2.52279,4.39316,2.13384,0.02595,0.02465,0.02166,0.016,2.32473,4.16281,1.98642,4.8314e-05,4.8314e-05,4.8314e-05
8,453.679,2.51682,4.42535,2.11093,0.02293,0.0247,0.02029,0.01551,2.30568,4.1529,1.9755,3.6533e-05,3.6533e-05,3.6533e-05
9,482.503,2.50226,4.3548,2.08475,0.02418,0.0252,0.02155,0.01538,2.30034,4.16591,1.96921,2.4752e-05,2.4752e-05,2.4752e-05
10,510.48,2.4565,4.38028,2.06107,0.02418,0.02515,0.02109,0.01496,2.29862,4.15947,1.96935,1.2971e-05,1.2971e-05,1.2971e-05
